"","PRIMARY_KEY","ORGANIZATION_NAME","SUB_BUILDING_NAME","BUILDING_NAME","NUMBER","PRIMARY_THORFARE","ALT_THORFARE","SECONDARY_THORFARE","LOCALITY","TOWNLAND","TOWN","COUNTY","POSTCODE","X_CORDINATE","Y_CORDINATE"
"73",73,"","","","30","LEIGHERY ROAD","","","","BALLYLEIGHERY UPPER","LIMAVADY","LONDONDERRY","BT490JG",270404,431604
"75",75,"","","","38","CURRAGH ROAD","","","BALLYSCULLION","DUNCRUN","LIMAVADY","LONDONDERRY","BT490JE",268543,432534
"76",76,"","","","405","SEACOAST ROAD","","","","CLOONEY","LIMAVADY","LONDONDERRY","BT490LW",268640,433777
"89",89,"","","","370","SEACOAST ROAD","","","","BALLYSCULLION","LIMAVADY","LONDONDERRY","BT490LA",267172,432608
"92",92,"","","TELEPHONE EXCHANGE",NA,"SEACOAST ROAD","","","","OUGHTYMOYLE","LIMAVADY","LONDONDERRY","BT490JY",266864,431456
"99",99,"","","","21","DRUMAVALLY","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267148,432852
"226",226,"","","","254","SEACOAST ROAD","","","","BELLARENA","LIMAVADY","LONDONDERRY","BT490HZ",266391,429886
"236",236,"","","","100","DOWLAND ROAD","","","FRUITHILL","CARBULLION","LIMAVADY","LONDONDERRY","BT490HR",267029,425935
"310",310,"","","","47","DOWLAND ROAD","","","FRUITHILL","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HR",268259,424813
"455",455,"","APARTMENT E","","5","LODGE COURT","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EY",266899,423197
"456",456,"","","","40","LINENHALL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490HQ",266936,423105
"457",457,"DRY ARCH FAMILY CENTRE (THE DEN)","","","55","CATHERINE STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499DA",266943,422977
"458",458,"","","","9","TYLER PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DS",267857,423478
"461",461,"","","","9","BALLYCLOSE STREET","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BL",267359,423426
"462",462,"","","","100","CONNELL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EA",267364,422972
"463",463,"","","","12","DUNMORE PLACE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AN",267370,422688
"464",464,"","","","2","GLENBEG WALK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RL",267723,421964
"465",465,"","","","74A","SCROGGY ROAD","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NB",267986,422179
"466",466,"","","","51","CARLARAGH ROAD","","","","TERRYDRUM","LIMAVADY","LONDONDERRY","BT499LF",265869,419219
"467",467,"CRAIGS SERVICE STATION","","","6","BALLYCLOSE STREET","","","","KILLANE","LIMAVADY","LONDONDERRY","BT490BN",267310,423476
"468",468,"","","","42","DRUMACHOSE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NZ",268024,422250
"472",472,"","","","13","PROTESTANT STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BP",266982,422879
"473",473,"","","","42","COOLESSAN WALK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EN",267586,421786
"475",475,"","","","15","GLENMILL PARK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT490RS",267627,421972
"477",477,"","","","17","ANNADALE PARK","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BW",267142,422786
"479",479,"","","","33","MASSEY AVENUE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BN",267086,422712
"481",481,"","","","6","MOYNE WALK","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AX",267181,422296
"485",485,"","","","17A","SCROGGY ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490NA",267710,423019
"486",486,"","","","42","BELLS HILL","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DQ",268197,423183
"488",488,"","","","6","JOSEPHINE TERRACE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AY",267183,422335
"497",497,"","","","112","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QG",268286,421549
"498",498,"","","","60","WOODLAND WALK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499DQ",267290,421677
"499",499,"","","","20","GLENSIDE BRAE","","","","DEER PARK","LIMAVADY","LONDONDERRY","BT490RY",267918,421620
"501",501,"","","","21","EDENMORE PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490RG",268331,422310
"503",503,"","","","26","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EU",267015,423234
"508",508,"","","","50","BALLYAVELIN ROAD","","","","GLEBE","LIMAVADY","LONDONDERRY","BT490NQ",269945,420994
"509",509,"","","","18","GORTEEN CRESCENT","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EW",267432,421762
"510",510,"","FLAT 29","BENEVENAGH FOLD","102","CONNELL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EF",267390,422968
"511",511,"","","","144","RINGSEND ROAD","","","","DRUMRAMER","LIMAVADY","LONDONDERRY","BT490QN",274972,423478
"512",512,"","","","44","WHISPERING PINES","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UB",268979,422438
"513",513,"","","","19","TYLER ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DP",268069,423514
"514",514,"","","","2","ROEMMELE HAVEN","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490EB",268431,422344
"515",515,"","","","6","EDENMORE PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490RG",268436,422229
"524",524,"","","","63","JOSEPHINE AVENUE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BA",267247,422410
"539",539,"","","","7","ROSSNAREEN COURT","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490TQ",268822,421945
"739",739,"","","","8","POLLYS BRAE ROAD","","","","LARGY","LIMAVADY","LONDONDERRY","BT499LL",267299,418250
"768",768,"","","","60","TERRYDREMONT ROAD","","","","MULKEERAGH","LIMAVADY","LONDONDERRY","BT490NR",270680,416566
"770",770,"","","","20","NEW LINE ROAD","","","","MAGHERAMORE","LIMAVADY","LONDONDERRY","BT499NF",263873,417749
"793",793,"","","","51","EAST ROAD","","","","CARRICK EAST","LIMAVADY","LONDONDERRY","BT490NW",270161,417443
"1337",1337,"","","","68","CASTLE PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SB",268440,423038
"6614",6614,"","","","1F","WILLIAM STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BL",266989,422776
"6667",6667,"","","","26","BALLYNARRIG ROAD","","","","BALLYDARROG","LIMAVADY","LONDONDERRY","BT499LP",265389,419032
"6961",6961,"","","","81","BROIGHTER ROAD","","","","BROGLASCO","LIMAVADY","LONDONDERRY","BT499DY",264749,425237
"7083",7083,"PEACOCKS STORES LTD","","","18A","MARKET STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AA",267079,423130
"7084",7084,"","","","24","TULLY ROAD","","","","MULKEERAGH","LIMAVADY","LONDONDERRY","BT499HW",265099,421838
"7143",7143,"","","","32G","BALLYQUIN ROAD","","","WHITE HILL BUSINESS PARK","CARRAN","LIMAVADY","LONDONDERRY","BT499EY",268025,421458
"7389",7389,"","","","4","THEIPVAL COURT","","","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266938,422865
"7604",7604,"","","","14","PLANTATION ROAD","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT499HX",268610,422920
"7708",7708,"MAGILLIGAN FIREPLACES","UNIT 9-10","","454A","SEACOAST ROAD","","","","MARGYMONAGHAN","LIMAVADY","LONDONDERRY","BT490LD",267364,433481
"7756",7756,"ROSEMARY KANE","","","172A","SEACOAST ROAD","","","","BALLYHENRY WEST","LIMAVADY","LONDONDERRY","BT499EF",266399,427864
"7786",7786,"","","","42-44","MARKET STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AA",267048,423195
"7853",7853,"","","","32","ASHBOURNE ROAD","","","","WALWORTH","LIMAVADY","LONDONDERRY","BT499QG",261250,422100
"7916",7916,"","","","98","BOLEA ROAD","","","","KILLYBREADY","LIMAVADY","LONDONDERRY","BT490QU",271567,425784
"8023",8023,"","","","27","BELLS HILL","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DQ",268205,423282
"8167",8167,"","2","","17B","DOWLAND ROAD","","","FRUITHILL","STREEVE","LIMAVADY","LONDONDERRY","BT490HP",268288,424054
"8181",8181,"","","","33","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QF",268115,421459
"8221",8221,"","","","5","LAURAVALE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490EE",268492,422667
"8254",8254,"LUCILLE'S SANDWICH BAR","","","17B","CATHERINE STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499DA",267070,423059
"8297",8297,"","","","20","KILLANE ROAD","","","","KILLANE","LIMAVADY","LONDONDERRY","BT490DN",267560,423538
"8311",8311,"","","","82","CONNELL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EA",267347,423045
"8852",8852,"","","","20","POINT ROAD","","","","OUGHTYMORE","LIMAVADY","LONDONDERRY","BT490LP",268038,434456
"8884",8884,"","","","58","ENAGH PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490SA",267933,421921
"8895",8895,"ROBERTS GENERAL GOODS","","","49","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EP",267066,423235
"8905",8905,"","","","130","CARROWCLARE ROAD","","","","CARROWCLARE","LIMAVADY","LONDONDERRY","BT499EB",263638,427008
"8910",8910,"","","","131","SEACOAST ROAD","","","","CULMORE LOWER","LIMAVADY","LONDONDERRY","BT499EG",266252,426702
"8911",8911,"","","","47","GREYSTONE ROAD","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490ND",268160,422423
"8912",8912,"","","","3","GLENBURN WAY","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RN",267809,421827
"8913",8913,"","","","66","RINGSEND ROAD","","","","KEADY","LIMAVADY","LONDONDERRY","BT490QJ",272280,423403
"8937",8937,"","","","17","DAISY DRIVE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490DX",268888,422200
"8948",8948,"","","","14","DRUMAVALLY","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267230,432892
"9028",9028,"","","","657","SEACOAST ROAD","","","","UMBRA","LIMAVADY","LONDONDERRY","BT490LH",273363,435828
"9641",9641,"","FLAT D","","38","ROE MILL ROAD","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BB",266998,422697
"9752",9752,"","","","132A","CARROWCLARE ROAD","","","","CARROWCLARE","LIMAVADY","LONDONDERRY","BT499EB",263623,426962
"9801",9801,"","","","14","BETTS ROAD","","","","DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PW",271796,417097
"9932",9932,"","","","25","ROSSNAVANNA","","","BOVALLY","BOVALLY","LIMAVADY","LONDONDERRY","BT490TU",268842,422077
"10311",10311,"","","","281","BALLYQUIN ROAD","","","","MULKEERAGH","LIMAVADY","LONDONDERRY","BT499HB",269134,415089
"10334",10334,"","","","55","LILAC AVENUE","","","","GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490JU",267996,425060
"10414",10414,"","","","50","LILAC AVENUE","","","","GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490JU",268043,425098
"10463",10463,"","","","178","MEADOWVALE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490SL",268366,421974
"11115",11115,"","","","30","NEW LINE ROAD","","","","MAGHERAMORE","LIMAVADY","LONDONDERRY","BT499NF",263980,417577
"11246",11246,"","","","18","GORTENANIMA","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490GF",268852,422694
"11274",11274,"","","","9","CROSSNADONNELL ROAD","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268519,422542
"11329",11329,"","","","96","DRUMMOND MANOR","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UQ",269145,422319
"11611",11611,"","","","46","ASHBOURNE ROAD","","","","WALWORTH","LIMAVADY","LONDONDERRY","BT499QG",261250,422100
"12042",12042,"","","","150","BALLYQUIN ROAD","","","","TERRYDREMONT NORTH","LIMAVADY","LONDONDERRY","BT499EZ",269309,419365
"12044",12044,"","","","153","MEADOWVALE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490SN",268347,421902
"12052",12052,"","","","66","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QE",268186,421606
"12055",12055,"","","","130","EDENMORE ROAD","","","","BALLYLEAGRY","LIMAVADY","LONDONDERRY","BT490NH",270906,419472
"12056",12056,"","","","19","EVENTIDE GARDENS","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AX",267473,422533
"12070",12070,"","","","30","TIRCREVEN ROAD","","","","TIRCREVEN","LIMAVADY","LONDONDERRY","BT490LN",269689,433270
"12074",12074,"","","","6","RATHBEG CRESCENT","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AT",267524,422581
"12088",12088,"","","","47","ANDERSON CRESCENT","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RQ",268420,422169
"12138",12138,"","","","30","ROE MILL GARDENS","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AU",267234,422302
"12139",12139,"","","","34","GLENMORE GARDENS","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RT",267781,422065
"12160",12160,"","","","19","ROE MILL GARDENS","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AT",267286,422289
"12189",12189,"","","","14","BARANAILT ROAD","","","","SHANREAGH","LIMAVADY","LONDONDERRY","BT499HJ",266440,422417
"12263",12263,"","","","44","GLENVIEW DRIVE","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RZ",267674,422092
"13098",13098,"","","","18","COLLEGE COURT","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT490UR",267518,422339
"13243",13243,"","","","12","COLLEGE COURT","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT490UR",267518,422339
"13349",13349,"HOWARD CASKIE OPTOMETRY PRACTICE","1ST FLOOR OFFICE","","3A","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EP",266944,423138
"13381",13381,"","FLAT F","","12","RATHBRADY ROAD","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BH",267065,422653
"13382",13382,"BOVALLY PHARMACY LTD","","","8","ANDERSON AVENUE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490TF",268345,422511
"13423",13423,"","","","47B","BISHOPS ROAD","","","","BALLYHANNA","LIMAVADY","LONDONDERRY","BT490JL",270397,427911
"13928",13928,"","","","32","BENEVENAGH DRIVE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AJ",267398,422646
"13971",13971,"","","","9","ANNADALE COURT","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499EL",267048,422903
"14205",14205,"","","","127B","BARANAILT ROAD","","","LIMAVADY","DRUMRAIGHLAND","LIMAVADY","LONDONDERRY","BT499LT",264306,419667
"14539",14539,"","","","46","CROSSNADONNELL ROAD","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268863,422562
"14540",14540,"","","","48","CROSSNADONNELL ROAD","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268868,422556
"14545",14545,"","","","17","BROIGHTER GARDENS","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490GH",268886,422512
"14577",14577,"OUTDOOR CENTRE","","","100","CARROWCLARE ROAD","","","","CARROWCLARE","LIMAVADY","LONDONDERRY","BT499EB",263922,427609
"14698",14698,"","","","7","LIMESTONE ROAD","","","","DUNCRUN","LIMAVADY","LONDONDERRY","BT490LB",267295,432727
"14713",14713,"","","","77","DRUMAVALLY","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267097,432923
"14728",14728,"","","","5","CARRIAGE COURT","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LU",267308,432996
"14731",14731,"","","","133","DUNCRUN ROAD","","","","LOWER BALLYLEIGHERY","LIMAVADY","LONDONDERRY","BT490JQ",269992,432803
"14820",14820,"","","","84","LOMOND ROAD","","","","BALLYMACRAN","LIMAVADY","LONDONDERRY","BT499DZ",263833,426507
"14867",14867,"","","","86","DOWLAND ROAD","","","FRUITHILL","GRANNAGH","LIMAVADY","LONDONDERRY","BT490HR",267391,425248
"14878",14878,"","","","68","LILAC AVENUE","","","","GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490JU",268101,425066
"14891",14891,"","","","8","CARROWCLARE ROAD","","","","CRINDLE","LIMAVADY","LONDONDERRY","BT499ED",266023,427882
"15139",15139,"","","","5","DEMESNE PLACE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490HG",266885,423197
"15140",15140,"","","","10","TYLER ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DR",267975,423612
"15143",15143,"","","","6","WILLIAM STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BL",266969,422809
"15146",15146,"","","","1","BALLYQUIN ROAD","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499ET",267400,422239
"15147",15147,"","","","50","GORTEEN CRESCENT","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EW",267494,421861
"15148",15148,"","","","82","SCROGGY ROAD","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NB",267985,422022
"15150",15150,"","","","32","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QE",268091,421586
"15152",15152,"","","","73","DRUMACHOSE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NY",268129,422352
"15153",15153,"","","","40","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QE",268133,421521
"15154",15154,"","","","109","SHANREAGH PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SG",268133,422635
"15155",15155,"","","","41","GREYSTONE ROAD","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490ND",268137,422397
"15156",15156,"","","","155","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QQ",268383,421460
"15157",15157,"","","","58","ANDERSON CRESCENT","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490SY",268407,422056
"15158",15158,"CHILDRENS RESIDENTIAL UNIT","5","","23","SCROGGY ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490NA",267683,422905
"15162",15162,"","","","84","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490ET",267188,423367
"15163",15163,"","","","69","ROE MILL GARDENS","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AT",267192,422179
"15164",15164,"","","","4","GLENBEG WALK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RL",267734,421965
"15165",15165,"","","","6","GLENGIVEN AVENUE","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RW",267740,421892
"15168",15168,"","","","74","SHANREAGH PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SE",268230,422779
"15172",15172,"","","","26","ENAGH PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490SA",267839,421979
"15173",15173,"","","","20","GLENGIVEN AVENUE","","","","DEER PARK","LIMAVADY","LONDONDERRY","BT490RW",267867,421737
"15174",15174,"","","","45","DOWLAND ROAD","","","FRUITHILL","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HR",268277,424783
"15175",15175,"","","","3","O'CAHAN WAY","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499DG",267302,421704
"15176",15176,"","","","6","GLENMORE GARDENS","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RT",267691,422076
"15177",15177,"","","","24","GLENBURN WAY","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RN",267878,421798
"15180",15180,"","","","170","MEADOWVALE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490SL",268330,422010
"15181",15181,"","","","13","CASTLE GARDENS","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SD",268337,422949
"15182",15182,"","","","14","ROE MILL WALK","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BJ",267013,422740
"15183",15183,"","","","90","WHISPERING PINES","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UF",269168,422518
"15184",15184,"","","","18","DUNMORE PLACE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AN",267335,422668
"15185",15185,"","","","25","TERRYDOO ROAD","","","","BALLYCRUM","LIMAVADY","LONDONDERRY","BT490PF",273491,422063
"15188",15188,"","","","14","MEADOWVALE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NU",268052,422116
"15189",15189,"","","","22","ARDGARVAN COTTAGES","","","","ARDGARVAN","LIMAVADY","LONDONDERRY","BT490NF",268612,420173
"15190",15190,"","","","97","TERRYDOO ROAD","","","","LITTLE DERRY","LIMAVADY","LONDONDERRY","BT490PF",272507,420071
"15192",15192,"B MULLAN & SONS (CONTRACTORS) LTD","","BOVALLY HOUSE","Nov-13","ANDERSON AVENUE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490TF",268357,422495
"15193",15193,"","","","116","RINGSEND ROAD","","","","LECK","LIMAVADY","LONDONDERRY","BT490QN",273975,423247
"15194",15194,"","","","10","DAIRYVALE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490DZ",268737,422288
"15196",15196,"","","","40","WHISPERING PINES","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UB",268968,422452
"15201",15201,"","FLAT 2","","163-165","IRISH GREEN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AR",267295,422406
"15202",15202,"","","","112","DRUMACHOSE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NZ",268169,422245
"15208",15208,"","","","1","CROSSNADONNELL ROAD","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268441,422595
"15210",15210,"","","","129","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QQ",268261,421401
"15212",15212,"","","","3","ROSSMARA","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UA",269069,422224
"15216",15216,"","","","12","ROSSMORE PLACE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490WB",269019,422017
"15221",15221,"","","","37","ARDGARVAN COTTAGES","","","","ARDGARVAN","LIMAVADY","LONDONDERRY","BT490NF",268548,420138
"15224",15224,"","","","8","GORTGARN ROAD","","","","GORTGARN","LIMAVADY","LONDONDERRY","BT490QW",270995,423922
"15225",15225,"","","","60","MOUNT EDEN","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RP",268657,421731
"15401",15401,"","","","53","DRUMADUFF ROAD","","","","MAINE SOUTH","LIMAVADY","LONDONDERRY","BT490PT",271520,415986
"15424",15424,"","","","248","DRUMSURN ROAD","","","","DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PG",271860,417243
"15441",15441,"","","","210","DRUMRANE ROAD","","","","TEMPLEMOYLE","LIMAVADY","LONDONDERRY","BT499LJ",268217,416615
"15442",15442,"","","","22","EAST ROAD","","","","BALLYQUIN","LIMAVADY","LONDONDERRY","BT490NW",269541,417447
"15446",15446,"","","","32","GORTNARNEY ROAD","","","","CLOGHAN","LIMAVADY","LONDONDERRY","BT490PZ",273369,417572
"15478",15478,"","","","19","KILHOYLE ROAD","","","","DRUMSURN UPPER","LIMAVADY","LONDONDERRY","BT490PU",273181,416590
"16058",16058,"","","","146","ROE MILL ROAD","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EX",267127,422025
"21262",21262,"","","","24","CLOVERVALE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490BG",268631,422239
"21453",21453,"MORTON NEWSPAPERS LTD","","","32A","MARKET STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT486EF",267061,423168
"21455",21455,"","","","10","KENNAUGHT TERRACE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AS",267254,422453
"21535",21535,"","","H.M. PRISON MAGILLIGAN",NA,"POINT ROAD","","","","LOWER DOAGHS","LIMAVADY","LONDONDERRY","BT490LR",266839,437333
"21584",21584,"","","","150","BOLEA ROAD","","","","BOLEA","LIMAVADY","LONDONDERRY","BT490QU",271802,425980
"21791",21791,"","","","163","DUNCRUN ROAD","","","","GORTMORE","LIMAVADY","LONDONDERRY","BT490JJ",270647,433597
"21800",21800,"","UNIT 6","","454A","SEACOAST ROAD","","","","MARGYMONAGHAN","LIMAVADY","LONDONDERRY","BT490LD",267382,433509
"21832",21832,"","","GRACES","23C","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EP",266994,423174
"21846",21846,"","FLAT 5","ROE FOLD",NA,"MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EL",266961,423295
"21847",21847,"","FLAT 23","ROE FOLD",NA,"MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EL",266961,423295
"22070",22070,"","","","11","ALEXANDER ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BW",267353,423354
"22071",22071,"","","","13","BALLYCLOSE STREET","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BL",267375,423429
